frame,timestamp_sec,time_formatted,face_detected,mp_left_cx,mp_left_cy,mp_right_cx,mp_right_cy,left_edge_L_x,left_edge_L_y,left_edge_R_x,left_edge_R_y,left_center_x,left_center_y,left_confidence,left_method,edge_left_cx,edge_left_cy,right_edge_L_x,right_edge_L_y,right_edge_R_x,right_edge_R_y,right_center_x,right_center_y,right_confidence,right_method,edge_right_cx,edge_right_cy,gaze_x,gaze_y,left_deviation,right_deviation,left_jitter,right_jitter
18,0.6,00:00.600,True,721.9200439453125,598.818359375,1220.5550537109375,569.4869995117188,664.0,600.0,765.0,596.0,714.5,598.0,0.3625,edge_band,714.5,598.0,1168.0,569.0,1265.0,566.0,1216.5,567.5,0.6375,edge_band,1216.5,567.5,965.5,582.75,7.4650361162568455,4.515708987319548,10.552392701157025,6.161310900552632
19,0.6333333333333333,00:00.633,True,720.1725463867188,600.2072143554688,1218.3770751953125,571.0671997070312,663.0,597.0,765.0,597.0,714.0,597.0,0.575,edge_band,714.0,597.0,1162.0,569.0,1264.0,572.0,1213.0,570.5,1.0,edge_band,1213.0,570.5,963.5,583.75,6.956044336986325,5.406907911524043,9.398279602456217,6.766333746757719
20,0.6666666666666666,00:00.667,True,720.0242309570312,601.90185546875,1217.9642333984375,571.5607299804688,663.0,602.0,764.0,599.0,713.5,600.5,0.4875,edge_band,713.5,600.5,1160.0,571.0,1264.0,571.0,1212.0,571.0,0.675,edge_band,1212.0,571.0,962.75,585.75,6.673139316389939,5.990534044810514,7.520485010347363,5.460290562996623
21,0.7,00:00.700,True,720.9926147460938,601.8080444335938,1216.2137451171875,571.917724609375,664.0,599.0,765.0,599.0,714.5,599.0,0.4625,edge_band,714.5,599.0,1160.0,575.0,1264.0,569.0,1212.0,572.0,0.7625,edge_band,1212.0,572.0,963.25,585.5,7.073836284664132,4.214548273839558,4.453344020108081,5.164569397121962
22,0.7333333333333333,00:00.733,True,722.1214599609375,602.3348388671875,1217.8170166015625,571.264404296875,664.0,599.0,765.0,600.0,714.5,599.5,0.35,edge_band,714.5,599.5,1161.0,572.0,1264.0,568.0,1212.5,570.0,0.6625,edge_band,1212.5,570.0,963.5,584.75,8.131602753399255,5.465288992107115,1.798139204108729,3.5715406715162894
23,0.7666666666666667,00:00.767,True,722.8514404296875,602.5797119140625,1218.332275390625,573.0513916015625,668.0,603.0,766.0,600.0,717.0,601.5,0.375,edge_band,717.0,601.5,1161.0,572.0,1269.0,570.0,1215.0,571.0,1.0,edge_band,1215.0,571.0,966.0,586.25,5.95022124963013,3.9130891609987826,3.0465081043913265,1.9866098085087078
24,0.8,00:00.800,True,722.1698608398438,604.1940307617188,1218.379638671875,572.4583740234375,668.0,603.0,767.0,601.0,717.5,602.0,0.2625,edge_band,717.5,602.0,1161.0,573.0,1270.0,570.0,1215.5,571.5,0.7125,edge_band,1215.5,571.5,966.5,586.75,5.159590220829008,3.034929924950129,3.02117979805502,2.4518829863584104
25,0.8333333333333334,00:00.833,True,723.1519775390625,603.6863403320312,1219.7913818359375,572.60205078125,666.0,601.0,767.0,601.0,716.5,601.0,0.1875,edge_band,716.5,601.0,1164.0,575.0,1269.0,570.0,1216.5,572.5,0.4875,edge_band,1216.5,572.5,966.5,586.75,7.173927066794711,3.2929635211907593,2.708431472926989,2.9175299246444992
26,0.8666666666666667,00:00.867,True,723.4157104492188,604.176513671875,1219.605712890625,572.8021850585938,667.0,601.0,768.0,606.0,717.5,603.5,0.2625,edge_band,717.5,603.5,1164.0,570.0,1269.0,572.0,1216.5,571.0,0.6625,edge_band,1216.5,571.0,967.0,587.25,5.954267450092387,3.5907274394491226,2.702727933509526,2.551462778744928
27,0.9,00:00.900,True,724.41845703125,609.4310302734375,1220.12451171875,577.009765625,667.0,606.0,768.0,608.0,717.5,607.0,0.55,edge_band,717.5,607.0,1165.0,576.0,1269.0,577.0,1217.0,576.5,0.6875,edge_band,1217.0,576.5,967.25,591.75,7.333140928935034,3.165822874552163,2.8710535242062214,3.1399884601322228
28,0.9333333333333333,00:00.933,True,723.9267578125,610.1365966796875,1218.2978515625,578.0076904296875,666.0,611.0,768.0,609.0,717.0,610.0,0.275,edge_band,717.0,610.0,1167.0,577.0,1267.0,575.0,1217.0,576.0,0.375,edge_band,1217.0,576.0,967.0,593.0,6.928104534858826,2.3906567172520754,4.182183474894666,3.1862799709433283
29,0.9666666666666667,00:00.967,True,723.7384033203125,608.4373779296875,1218.355224609375,577.30224609375,666.0,608.0,768.0,608.0,717.0,608.0,0.275,edge_band,717.0,608.0,1165.0,575.0,1267.0,576.0,1216.0,575.5,0.4125,edge_band,1216.0,575.5,966.5,591.75,6.75258311763552,2.9656658515488146,4.030808386902685,2.83183369049762
30,1.0,00:01.000,True,724.2821044921875,609.1580810546875,1218.62060546875,577.1449584960938,666.0,607.0,768.0,609.0,717.0,608.0,0.4875,edge_band,717.0,608.0,1163.0,574.0,1267.0,576.0,1215.0,575.0,0.5875,edge_band,1215.0,575.0,966.0,591.5,7.373614959052546,4.208281229944972,2.661328556012137,3.033248290183499
31,1.0333333333333334,00:01.033,True,725.7171630859375,609.6692504882812,1219.645263671875,578.9585571289062,671.0,607.0,770.0,609.0,720.5,608.0,0.475,edge_band,720.5,608.0,1164.0,576.0,1268.0,576.0,1216.0,576.0,0.5,edge_band,1216.0,576.0,968.25,592.0,5.477699139045161,4.694785141249128,2.620240183207486,1.4067477390841132
32,1.0666666666666667,00:01.067,True,727.9583129882812,610.2109985351562,1222.518798828125,579.490478515625,674.0,607.0,771.0,608.0,722.5,607.5,0.3875,edge_band,722.5,607.5,1171.0,580.0,1270.0,577.0,1220.5,578.5,0.5,edge_band,1220.5,578.5,971.5,593.0,6.094480596052392,2.2486877058305756,3.538855715472194,3.4839985093809274
33,1.1,00:01.100,True,745.6875,610.578857421875,1237.125244140625,582.4048461914062,688.0,608.0,788.0,609.0,738.0,608.5,0.275,edge_band,738.0,608.5,1184.0,582.0,1285.0,582.0,1234.5,582.0,0.5375,edge_band,1234.5,582.0,986.25,595.25,7.963623825274821,2.6562769502787242,9.0641790856853,11.06806115843414
34,1.1333333333333333,00:01.133,True,747.3053588867188,611.4528198242188,1239.6544189453125,583.0994262695312,688.0,608.0,793.0,614.0,740.5,611.0,0.4625,edge_band,740.5,611.0,1185.0,584.0,1287.0,580.0,1236.0,582.0,0.5,edge_band,1236.0,582.0,988.25,596.5,6.820407273048096,3.816217492491004,12.149646069388247,13.403952760604772
35,1.1666666666666667,00:01.167,True,757.3087768554688,612.1256103515625,1248.283203125,585.0775756835938,714.0,611.0,792.0,613.0,753.0,612.0,0.3375,edge_band,753.0,612.0,1213.0,584.0,1288.0,582.0,1250.5,583.0,0.4,edge_band,1250.5,583.0,1001.75,597.5,4.310607376071593,3.0381752921893437,15.487641201932668,16.656326402623282
36,1.2,00:01.200,True,769.1187744140625,612.732666015625,1261.363037109375,585.8211669921875,716.0,616.0,815.0,616.0,765.5,616.0,0.2375,edge_band,765.5,616.0,1224.0,588.0,1301.0,589.0,1262.5,588.5,0.4,edge_band,1262.5,588.5,1014.0,602.25,4.875551212460516,2.910125581208502,19.56578877823265,19.738901934220365
37,1.2333333333333334,00:01.233,True,769.4940795898438,613.4537353515625,1264.351318359375,586.2554931640625,720.0,612.0,816.0,611.0,768.0,611.5,0.4375,edge_band,768.0,611.5,1227.0,583.0,1308.0,585.0,1267.5,584.0,0.4,edge_band,1267.5,584.0,1017.75,597.75,2.4595437879274917,3.873169953299443,16.51317499202889,17.691847881663858
38,1.2666666666666666,00:01.267,True,773.2430419921875,613.2784423828125,1266.846435546875,586.3428955078125,711.0,610.0,818.0,613.0,764.5,611.5,0.5625,edge_band,764.5,611.5,1229.0,584.0,1311.0,589.0,1270.0,586.5,0.2375,edge_band,1270.0,586.5,1017.25,599.0,8.922087232600775,3.1574753493066376,13.546542081550363,16.733799251758338
39,1.3,00:01.300,True,773.548828125,614.4271240234375,1268.696044921875,586.2802734375,723.0,616.0,819.0,614.0,771.0,615.0,0.325,edge_band,771.0,615.0,1230.0,587.0,1330.0,583.0,1280.0,585.0,0.4875,edge_band,1280.0,585.0,1025.5,600.0,2.612414916377843,11.376225229971322,8.989107442941934,12.963795079877066
40,1.3333333333333333,00:01.333,True,775.2872314453125,611.4962768554688,1270.421630859375,584.6412353515625,726.0,610.0,819.0,609.0,772.5,609.5,0.4625,edge_band,772.5,609.5,1234.0,582.0,1332.0,583.0,1283.0,582.5,0.475,edge_band,1283.0,582.5,1027.75,596.0,3.428378685824979,12.75932047832518,6.145223493354635,10.934588675312547
41,1.3666666666666667,00:01.367,True,774.2307739257812,614.0858154296875,1267.2265625,588.9895629882812,724.0,616.0,822.0,615.0,773.0,615.5,0.2875,edge_band,773.0,615.5,1226.0,592.0,1314.0,587.0,1270.0,589.5,0.85,edge_band,1270.0,589.5,1021.5,602.5,1.8747593059624854,2.8200179980522497,6.105421423713279,9.583023969985398
42,1.4,00:01.400,True,774.5238037109375,614.77978515625,1268.681396484375,588.2728881835938,727.0,616.0,822.0,616.0,774.5,616.0,0.375,edge_band,774.5,616.0,1206.0,589.0,1330.0,585.0,1268.0,587.0,0.2625,edge_band,1268.0,587.0,1021.25,601.5,1.2204470007182748,1.4437955176725012,6.745948798904248,9.380660323739484
